0,good
1,good
2,bad
3,bad
4,good
5,bad
6,good
7,bad
8,bad
9,bad
10,bad
11,bad
12,good
13,good
14,good
15,good
16,good
17,good
18,good
19,good
20,bad
21,good
22,bad
23,good
24,bad
25,bad
26,good
27,bad
28,bad
29,bad
30,good
31,good
32,bad
33,bad
34,bad
35,bad
36,bad
37,bad
38,good
39,good
40,good
41,good
42,good
43,good
44,good
45,good
46,good
47,good
48,bad
49,good
50,good
51,good
52,bad
53,bad
54,bad
55,bad
56,bad
57,good
58,good
59,bad
60,bad
61,bad
62,good
63,bad
64,good
65,bad
66,bad
67,bad
68,good
69,good
70,bad
71,good
72,good
73,bad
74,good
75,good
76,bad
77,good
78,good
79,good
80,bad
81,bad
82,bad
83,good
84,good
85,good
86,bad
87,bad
88,good
89,bad
90,good
91,good
92,bad
93,bad
94,good
95,good
96,good
97,good
98,good
99,good
100,bad
101,good
102,bad
103,good
104,bad
105,bad
106,good
107,good
108,good
109,bad
110,good
111,good
112,bad
113,bad
114,bad
115,bad
116,bad
117,bad
118,good
119,good
120,good
121,good
122,good
123,good
124,bad
125,good
126,good
127,good
128,bad
129,bad
130,good
131,good
132,bad
133,good
134,bad
135,bad
136,good
137,bad
138,good
139,bad
140,good
141,good
142,good
143,bad
144,good
145,bad
146,good
147,bad
148,bad
149,good
150,good
151,good
152,good
153,good
154,good
155,bad
156,good
157,good
158,bad
159,good
160,bad
161,bad
162,bad
163,bad
164,bad
165,bad
166,good
167,bad
168,good
169,good
170,good
171,good
172,good
173,good
174,bad
175,good
176,bad
177,bad
178,good
179,good
180,bad
181,good
182,bad
183,bad
184,bad
185,bad
186,bad
187,bad
188,bad
189,good
190,good
191,bad
192,good
193,bad
194,bad
195,bad
196,bad
197,bad
198,bad
199,bad
200,good
201,bad
202,bad
203,bad
204,bad
205,bad
206,bad
207,bad
208,good
209,bad
210,bad
211,bad
212,bad
213,bad
214,good
215,bad
216,good
217,good
218,bad
219,good
220,bad
221,bad
222,bad
223,bad
224,bad
225,bad
226,bad
227,bad
228,bad
229,bad
230,bad
231,bad
232,bad
233,bad
234,bad
235,bad
236,bad
237,bad
238,bad
239,bad
240,bad
241,bad
242,bad
243,bad
244,bad
245,bad
246,bad
247,bad
248,bad
249,bad
